AGE_GROUP,TOTALPOSITIVE,DATE,CASE_PERCENT,DEATHS,DEATHS_PERCENT,CA_PERCENT
50-64,21461,5/21/2020,24.3,536,15.1,18.4
65,17864,5/21/2020,20.2,2805,79.1,15.6
0-17,4273,5/22/2020,4.7,0,0,22.5
18-49,46131,5/22/2020,50.9,203,5.7,43.5
50-64,21938,5/22/2020,24.2,544,15.2,18.4
65,18164,5/22/2020,20,2842,79.2,15.6
0-17,4462,5/23/2020,4.8,0,0,22.5
18-49,47331,5/23/2020,51.1,204,5.6,43.5
50-64,22361,5/23/2020,24.1,556,15.2,18.4
65,18424,5/23/2020,19.9,2885,79.1,15.6
0-17,4633,5/24/2020,4.9,0,0,22.5
18-49,48364,5/24/2020,51.1,206,5.6,43.5
50-64,22754,5/24/2020,24.1,560,15.3,18.4
65,18670,5/24/2020,19.7,2899,79.1,15.6
0-17,4872,5/25/2020,5,0,0,22.5
18-49,49643,5/25/2020,51.3,208,5.7,43.5
50-64,23185,5/25/2020,24,560,15.2,18.4
65,18898,5/25/2020,19.5,2911,79.1,15.6
0-17,5122,5/26/2020,5.2,0,0,22.5
18-49,50981,5/26/2020,51.5,210,5.7,43.5
50-64,23633,5/26/2020,23.9,564,15.2,18.4
65,19095,5/26/2020,19.3,2933,79.1,15.6
0-17,5371,5/27/2020,5.3,0,0,22.5
18-49,52555,5/27/2020,51.7,218,5.7,43.5
50-64,24154,5/27/2020,23.8,579,15.2,18.4
65,19462,5/27/2020,19.1,3019,79.1,15.6
0-17,5542,5/28/2020,5.3,0,0,22.5
18-49,53795,5/28/2020,51.8,222,5.7,43.5
50-64,24617,5/28/2020,23.7,599,15.3,18.4
65,19773,5/28/2020,19,3083,79,15.6
0-17,5861,5/29/2020,5.5,0,0,22.5
18-49,55552,5/29/2020,52,228,5.7,43.5
50-64,25223,5/29/2020,23.6,618,15.5,18.4
65,20073,5/29/2020,18.8,3139,78.8,15.6
0-17,6254,5/30/2020,5.7,0,0,22.5
18-49,57738,5/30/2020,52.2,230,5.7,43.5
50-64,25964,5/30/2020,23.5,627,15.5,18.4
65,20455,5/30/2020,18.5,3186,78.8,15.6
0-17,6488,5/31/2020,5.7,0,0,22.5
18-49,59144,5/31/2020,52.3,231,5.7,43.5
50-64,26405,5/31/2020,23.4,636,15.6,18.4
65,20792,5/31/2020,18.4,3213,78.8,15.6
0-17,6706,6/1/2020,5.8,0,0,22.5
18-49,60493,6/1/2020,52.5,235,5.7,43.5
50-64,26880,6/1/2020,23.3,642,15.6,18.4
65,21054,6/1/2020,18.3,3250,78.7,15.6
0-17,6925,6/2/2020,5.9,0,0,22.5
18-49,61896,6/2/2020,52.6,248,5.9,43.5
50-64,27334,6/2/2020,23.2,662,15.6,18.4
65,21354,6/2/2020,18.1,3321,78.5,15.6
0-17,7119,6/3/2020,5.9,0,0,22.5
18-49,63152,6/3/2020,52.7,250,5.8,43.5
50-64,27762,6/3/2020,23.2,671,15.6,18.4
65,21595,6/3/2020,18,3377,78.6,15.6
