RACE_ETHNICITY,CASES,CASE_PERCENTAGE,DEATHS,DEATH_PERCENTAGE,PERCENT_CA_POPULATION,DATE
Black,4474,5.1,431,10,6,6/4/2020
Black,4528,5.1,432,9.9,6,6/5/2020
Black,4575,5,439,9.9,6,6/6/2020
Multi-Race,625,0.8,26,0.6,2.2,6/1/2020
Multi-Race,638,0.8,26,0.6,2.2,6/2/2020
Multi-Race,645,0.8,27,0.6,2.2,6/3/2020
Multi-Race,654,0.7,28,0.7,2.2,6/4/2020
Multi-Race,665,0.7,29,0.7,2.2,6/5/2020
Multi-Race,683,0.7,29,0.7,2.2,6/6/2020
Latino,55439,55.8,1888,40.2,38.9,6/10/2020
White,18312,18.4,1553,33.1,36.6,6/10/2020
Asian,8088,8.1,691,14.7,15.4,6/10/2020
Black,4777,4.8,454,9.7,6,6/10/2020
Multi-Race,725,0.7,32,0.7,2.2,6/10/2020
Other,11136,11.2,40,0.9,0,6/10/2020
Latino,52550,55.3,1787,39.7,38.9,6/8/2020
White,17825,18.8,1500,33.3,36.6,6/8/2020
Asian,7939,8.4,675,15,15.4,6/8/2020
Black,4655,4.9,442,9.8,6,6/8/2020
Multi-Race,689,0.7,29,0.6,2.2,6/8/2020
Other,10476,11,37,0.8,0,6/8/2020
Other,2751,5.2,38,1.3,0,5/15/2020
Other,2824,5.2,40,1.3,0,5/16/2020
Other,2902,5.2,36,1.1,0,5/17/2020
Other,2984,5.3,35,1.1,0,5/18/2020
Other,3015,5.2,38,1.2,0,5/19/2020
Other,3070,5.1,36,1.1,0,5/20/2020
Other,3253,5.3,37,1.1,0,5/21/2020
Other,3388,5.3,38,1.1,0,5/22/2020
Other,3780,5.8,35,1,0,5/23/2020
Other,4099,6.2,35,1,0,5/24/2020
Other,4515,6.7,35,1,0,5/25/2020
Other,5026,7.3,35,1,0,5/26/2020
Other,5624,7.9,40,1.1,0,5/27/2020
Other,6057,8.2,39,1,0,5/28/2020
Other,6529,8.6,36,0.9,0,5/29/2020
Other,7163,9.1,32,0.8,0,5/30/2020
Other,7689,9.6,33,0.8,0,5/31/2020
Other,8140,10,30,0.7,0,6/1/2020
Other,8626,10.4,32,0.8,0,6/2/2020
Other,8902,10.5,33,0.8,0,6/3/2020
Other,9086,10.4,33,0.8,0,6/4/2020
Other,9313,10.5,33,0.8,0,6/5/2020
Other,9603,10.5,38,0.9,0,6/6/2020
Latino,51166,55.1,1757,39.5,38.9,6/7/2020
White,17640,19,1481,33.3,36.6,6/7/2020
Asian,7875,8.5,668,15,15.4,6/7/2020
Black,4608,5,442,9.9,6,6/7/2020
Multi-Race,685,0.7,29,0.7,2.2,6/7/2020
Other,9985,10.8,37,0.8,0,6/7/2020
Latino,54151,55.6,1837,39.9,38.9,6/9/2020
White,18064,18.6,1524,33.1,36.6,6/9/2020
Asian,8019,8.2,684,14.9,15.4,6/9/2020
Black,4713,4.8,451,9.8,6,6/9/2020
Multi-Race,706,0.7,31,0.7,2.2,6/9/2020
Other,10784,11.1,39,0.8,0,6/9/2020
Latino,56896,56.2,1912,40.2,38.9,6/11/2020
White,18528,18.3,1582,33.2,36.6,6/11/2020
Asian,8152,8,697,14.6,15.4,6/11/2020
Black,4832,4.8,458,9.6,6,6/11/2020
Multi-Race,744,0.7,33,0.7,2.2,6/11/2020
Other,11229,11.1,39,0.8,0,6/11/2020
Latino,58415,56.3,1941,40.4,38.9,6/12/2020
